, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C22:N22),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P22:AA22),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC22:AN22)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C23:N23),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P23:AA23),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC23:AN23)
,  ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C24:N24),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P24:AA24),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC24:AN24)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C25:N25),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P25:AA25),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC25:AN25)
, ,0,0,0,0,0,0,0,0,0,13,0,0,=SUM(C26:N26),0,0,0,0,0,0,0,0,0,,0,0,=SUM(P26:AA26),0,0,0,0,0,0,0,0,0,,0,0,=SUM(AC26:AN26)
,  ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C27:N27),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P27:AA27),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC27:AN27)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C28:N28),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P28:AA28),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC28:AN28)
,EQUIPMENT/APPLIANCE PURCHASES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C29:N29),1434.37,0,0,0,0,0,0,0,0,0,0,0,=SUM(P29:AA29),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC29:AN29)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C30:N30),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P30:AA30),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC30:AN30)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C31:N31),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P31:AA31),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC31:AN31)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C32:N32),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P32:AA32),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC32:AN32)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C33:N33),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P33:AA33),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC33:AN33)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C34:N34),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P34:AA34),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC34:AN34)
,MORTGAGE,1066.27,1066.27,1066.27,1066.27,1066.27,1066.27,1066.27,1066.27,1066.27,1066.27,1215.82,1215.82,=SUM(C35:N35),1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,1318.02,=SUM(P35:AA35),1226.25,1226.25,1226.25,1226.25,1226.25,1226.25,1226.25,1226.25,1226.25,1226.25,1177.52,1177.52,=SUM(AC35:AN35)
,HOA,397.48,397.48,397.48,397.48,397.48,397.48,397.48,397.48,397.48,397.48,397.48,397.48,=SUM(C36:N36),401.46,401.46,401.46,401.46,401.46,401.46,401.46,401.46,401.46,401.46,401.46,401.46,=SUM(P36:AA36),421.53,421.53,421.53,421.53,421.53,421.53,421.53,421.53,421.53,421.53,421.53,421.53,=SUM(AC36:AN36)
,"ELECTRICAL WORK (GROUNDING, ESTIMATE, KITCHEN)",0,0,0,0,0,0,0,0,0,350,0,0,=SUM(C37:N37),0,0,0,0,0,0,0,0,0,,0,0,=SUM(P37:AA37),0,0,0,0,0,0,0,0,0,,0,0,=SUM(AC37:AN37)
,MOVE OUT FEE,0,0,0,0,0,0,0,0,0,200,0,0,=SUM(C38:N38),0,0,0,0,0,0,0,0,0,200,0,0,=SUM(P38:AA38),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,=SUM(AC38:AN38)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C39:N39),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P39:AA39),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC39:AN39)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C40:N40),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P40:AA40),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC40:AN40)
, ,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C41:N41),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P41:AA41),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC41:AN41)
,TOTAL EXPENSES,=SUM(C10:C41),=SUM(D10:D41),=SUM(E10:E41),=SUM(F10:F41),=SUM(G10:G41),=SUM(H10:H41),=SUM(I10:I41),=SUM(J10:J41),=SUM(K10:K41),=SUM(L10:L41),=SUM(M10:M41),=SUM(N10:N41),=SUM(C42:N42),=SUM(P10:P41),=SUM(Q10:Q41),=SUM(R10:R41),=SUM(S10:S41),=SUM(T10:T41),=SUM(U10:U41),=SUM(V10:V41),=SUM(W10:W41),=SUM(X10:X41),=SUM(Y10:Y41),=SUM(Z10:Z41),=SUM(AA10:AA41),=SUM(P42:AA42),=SUM(AC10:AC41),=SUM(AD10:AD41),=SUM(AE10:AE41),=SUM(AF10:AF41),=SUM(AG10:AG41),=SUM(AH10:AH41),=SUM(AI10:AI41),=SUM(AJ10:AJ41),=SUM(AK10:AK41),=SUM(AL10:AL41),=SUM(AM10:AM41),=SUM(AN10:AN41),=SUM(AC42:AN42)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR-TO-DATE INCOME LESS EXPENSES,=C6-C42,=D6-D42,=E6-E42,=F6-F42,=G6-G42,=H6-H42,=I6-I42,=J6-J42,=K6-K42,=L6-L42,=M6-M42,=N6-N42,=O6-O42,=P6-P42,=Q6-Q42,=R6-R42,=S6-S42,=T6-T42,=U6-U42,=V6-V42,=W6-W42,=X6-X42,=Y6-Y42,=Z6-Z42,=AA6-AA42,=AB6-AB42,=AC6-AC42,=AD6-AD42,=AE6-AE42,=AF6-AF42,=AG6-AG42,=AH6-AH42,=AI6-AI42,=AJ6-AJ42,=AK6-AK42,=AL6-AL42,=AM6-AM42,=AN6-AN42,=AO6-AO42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Purchase Price,175250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rate,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Closing Costs,36984.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022 Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,earnest money to seller,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inspection to Bill,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"deposit to Rocket Mortage, which will be applied to appraisal cost once ordered",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,electrian estimate,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,move in fees to HOA,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2025 (this column) — user cost list LOCKED 2026-09-20, last-year Excel pattern.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rent — joint 0203 (Delach $1,450 + Ava $500; Joan $1,950 Dec + prepaid Jan). Vacant Oct + half Nov. Half-Nov $975 WAIT 8507.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mortgage — user $1,226.25/mo. Cash 8507 Jul–Oct $1,226.25 / Nov–Dec $1,177.52 (green). Jan–Jun $1,226.25 yellow WAIT 8507 (not on Monarch). Sch E uses Rocket 1098 interest, not full P+I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOA — user $421.53/mo Santa Maria C326. Jun–Dec cash 8507 green. Jan–May $421.53 yellow WAIT 8507.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Insurance — Lemonade $42.84/mo × 12 = $514.08 on RENTER'S INSURANCE (amortized like 2023 $26.75 / 2024 $35.08). Cash $514.00 10/3 Megan Chase (8¢). User said “216 N Grove” — this Oak Park #1Z unit, not 827 Grove. Travelers + Geico = 524 Ferdinand (home / cars), not 216.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interior — Chris Brennan exterminator $150 8/7 (8507 check posted 8/18) INTERIOR Aug. Ace keys $11 12/8 Megan Chase INTERIOR Dec. Same-day Ace $17 not booked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interior repair — Joan $675 12/1 8507 Zelle painting + repairs → INTERIOR REPAIR December (2024 used this row for Oak Park painting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move-out — Imelda $300 empty-apt. User 9/30; cash 10/1 joint 0203 → MOVE OUT FEE October (same month as 2023/24 $200). Other 2025 Imelda $150s not on 216.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smoke detector Amazon — still ASK (checklist TBD). No Kidde/First Alert/detector SKU on Monarch/Prime/Sapphire/BoA. EQUIPMENT yellow $0. Not tax advice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
