,EQUIPMENT/APPLIANCE PURCHASES,0,20,0,0,0,0,0,0,0,0,0,220,=SUM(C24:N24),63.42,281.27,60.49,49.49,76.98,98,0,0,0,0,0,,=SUM(P24:AA24),0,0,73.24,0,0,0,0,0,82.27,0,0,0,=SUM(AC24:AN24)
,EQUIPMENT/APPLIANCE RENTAL FEES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C25:N25),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P25:AA25),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC25:AN25)
,LAND TAX,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C26:N26),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P26:AA26),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC26:AN26)
,BORROWING EXPENSES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C27:N27),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P27:AA27),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC27:AN27)
,LOANS INTEREST,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C28:N28),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P28:AA28),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC28:AN28)
,TRAVEL EXPENSES,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C29:N29),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P29:AA29),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC29:AN29)
,YARD STARTUP CONSTRUCTION,0,0,0,210.36,0,0,0,0,0,11713.94,35.64,0,=SUM(C30:N30),0,0,0,,0,0,0,0,0,,,0,=SUM(P30:AA30),0,0,0,,0,0,0,0,0,,,0,=SUM(AC30:AN30)
,YARD EQUIPMENT,0,0,0,0,0,0,0,0,1440.43,142.99,0,0,=SUM(C31:N31),0,0,0,328.9,49.96,54.17,75.39,72.59,19.79,89.15,106.99,152.9,=SUM(P31:AA31),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(AC31:AN31)
,YARD FURNITURE,0,0,0,0,0,0,0,0,0,2225,13,215,=SUM(C32:N32),0,0,0,0,0,0,0,0,0,,,,=SUM(P32:AA32),0,0,0,0,0,0,0,0,0,,,,=SUM(AC32:AN32)
,YARD SERVICE,0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C33:N33),0,0,0,318.47,0,0,0,236.55,0,89.87,0,0,=SUM(P33:AA33),0,0,60.95,60.95,445.2,60.95,60.95,60.95,249,60.95,0,0,=SUM(AC33:AN33)
,SUPPLIES (Grove Collaborative),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(C34:N34),0,0,0,0,0,0,0,0,0,0,0,0,=SUM(P34:AA34),110.8,0,92.96,105.25,0,68.73,128.37,176.17,108.93,0,0,0,=SUM(AC34:AN34)
,TOTAL EXPENSES,=SUM(C10:C34),=SUM(D10:D34),=SUM(E10:E34),=SUM(F10:F34),=SUM(G10:G34),=SUM(H10:H34),=SUM(I10:I34),=SUM(J10:J34),=SUM(K10:K34),=SUM(L10:L34),=SUM(M10:M34),=SUM(N10:N34),=SUM(C35:N35),=SUM(P10:P34),=SUM(Q10:Q34),=SUM(R10:R34),=SUM(S10:S34),=SUM(T10:T34),=SUM(U10:U34),=SUM(V10:V34),=SUM(W10:W34),=SUM(X10:X34),=SUM(Y10:Y34),=SUM(Z10:Z34),=SUM(AA10:AA34),=SUM(P35:AA35),=SUM(AC10:AC34),=SUM(AD10:AD34),=SUM(AE10:AE34),=SUM(AF10:AF34),=SUM(AG10:AG34),=SUM(AH10:AH34),=SUM(AI10:AI34),=SUM(AJ10:AJ34),=SUM(AK10:AK34),=SUM(AL10:AL34),=SUM(AM10:AM34),=SUM(AN10:AN34),=SUM(AC35:AN35)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR-TO-DATE INCOME LESS EXPENSES,=C6-C35,=D6-D35,=E6-E35,=F6-F35,=G6-G35,=H6-H35,=I6-I35,=J6-J35,=K6-K35,=L6-L35,=M6-M35,=N6-N35,=O6-O35,=P6-P35,=Q6-Q35,=R6-R35,=S6-S35,=T6-T35,=U6-U35,=V6-V35,=W6-W35,=X6-X35,=Y6-Y35,=Z6-Z35,=AA6-AA35,=AB6-AB35,=AC6-AC35,=AD6-AD35,=AE6-AE35,=AF6-AF35,=AG6-AG35,=AH6-AH35,=AI6-AI35,=AJ6-AJ35,=AK6-AK35,=AL6-AL35,=AM6-AM35,=AN6-AN35,=AO6-AO35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025: platform STR net on RENTAL INCOME (Jun–Nov). TruGreen/Alsip on YARD SERVICE (same as 2024). Grove Collaborative on SUPPLIES (≠ 827 N Grove the house). INSURANCE LOCK 2026-09-20: Travelers was prior 524 home; Geico was the cars. Only State Farm HOME share on this INSURANCE line (50/50 U1/U2). Auto + Geico $540.89 credit personal, not EPGC. Travelers leftover Jan 2025 is 524 home ($0 on cards/Monarch). ELECTRIC yellow — confirm ComEd with Megan. Not tax advice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
