2025 credit-card ledger after 2026-09-18 answers — not tax advice,,,,,,,
,,,,,,,
Card,Date,Merchant / item,Amount,Prior-Excel category,Tab,Status,Note
Prime 2351,2025-03-26,HOMEDEPOT.COM,1185.8,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,"March HD 100% 524 repairs, then 50/50 U1/U2 → U2 $592.90 / U1 $592.90"
Prime 2351,2025-02-16,THE HOME DEPOT #1901,11.34,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $5.67 / U1 $5.67
Prime 2351,2025-02-16,THE HOME DEPOT #1901,11.34,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-02-16,THE HOME DEPOT #1901,11.33,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-02-17,IKEA BOLINGBROOK,99.79,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $49.90 / U1 $49.89
Prime 2351,2025-02-17,IKEA BOLINGBROOK,99.79,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-02-17,IKEA BOLINGBROOK,99.79,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-02-18,IKEA 471245314,22.0,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $11.00 / U1 $11.00
Prime 2351,2025-02-18,IKEA 471245314,21.99,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-02-18,IKEA 471245314,21.99,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-03-23,LOWES #01845,18.57,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $9.29 / U1 $9.28
Prime 2351,2025-03-23,LOWES #01845,18.56,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-03-23,LOWES #01845,18.56,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-04-20,THE HOME DEPOT #1901,78.79,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $39.40 / U1 $39.39
Prime 2351,2025-04-20,THE HOME DEPOT #1901,78.79,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-04-20,THE HOME DEPOT #1901,78.78,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-04-20,THE HOME DEPOT #1901,0.36,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $0.18 / U1 $0.18
Prime 2351,2025-04-20,THE HOME DEPOT #1901,0.36,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-04-20,THE HOME DEPOT #1901,0.35,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-07-06,THE HOME DEPOT #1901,101.98,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $50.99 / U1 $50.99
Prime 2351,2025-07-06,THE HOME DEPOT #1901,101.98,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-07-06,THE HOME DEPOT #1901,101.98,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-09-01,LOWES #01845,69.73,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $34.87 / U1 $34.86
Prime 2351,2025-09-01,LOWES #01845,69.73,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-09-01,LOWES #01845,69.73,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-10-11,THE HOME DEPOT #1901,136.96,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $68.48 / U1 $68.48
Prime 2351,2025-10-11,THE HOME DEPOT #1901,136.96,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-10-11,THE HOME DEPOT #1901,136.96,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-11-02,THE HOME DEPOT #1901,64.66,EXTERIOR REPAIRS,U1 50% / U2 50%,APPLIED,1/3 524 repairs / 1/3 personal / 1/3 827 Grove (by transaction) → U2 $32.33 / U1 $32.33
Prime 2351,2025-11-02,THE HOME DEPOT #1901,64.66,personal,—,EXCLUDED,User 2026-09-18: remaining HD/Lowe's/IKEA 1/3 personal (by transaction).
Prime 2351,2025-11-02,THE HOME DEPOT #1901,64.65,827 Grove materials,827 Grove CapEx,GROVE-SPLIT,"1/3 of txn. Pre-close materials — NOT folded into locked TY2025 CapEx $53,660."
Prime 2351,2025-12-10,EXTRA SPACE 6720,360.0,storage?,HOLD,HOLD,Was in Prime HOME total. Not HD/Lowe's/IKEA — still HOLD.
,,,,,,,
"STATUS: APPLIED = monthly P&L. EXCLUDED = personal. HOLD = still confirm. INVENTORY = Art Sales (not P&L, not Cost total yet). TBD-MEGAN = ComEd — remind Jacob to ask Megan. GROVE-SPLIT = 827 materials, not locked $53,660.",,,,,,,
